tv_name,year,url
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-21-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-22-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-25-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-26-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-27-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-28-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-29-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-01-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-02-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-03-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-04-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-05-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-08-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-09-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-10-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-11-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-12-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-15-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-16-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-17-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-18-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-19-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-22-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-23-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-24-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-25-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-26-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-29-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-04-30-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-01-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-02-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-03-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-06-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-07-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-08-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-09-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-10-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-13-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-14-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-15-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-16-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-17-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-20-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-21-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-22-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-23-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-24-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-27-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-28-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-29-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-30-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-05-31-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-03-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-04-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-05-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-06-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-07-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-10-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-11-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-12-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-13-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-14-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-17-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-18-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-19-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-20-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-21-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-24-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-25-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-26-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-27-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-06-28-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-01-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-02-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-03-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-04-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-05-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-08-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-09-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-10-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-11-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-15-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-16-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-17-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-18-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-19-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-22-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-23-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-24-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-25-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-26-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-29-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-30-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-07-31-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-08-01-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-08-02-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-08-05-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-08-06-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-08-07-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-08-08-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-08-09-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-08-12-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-08-13-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-08-14-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-08-15-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-08-16-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-08-19-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-08-20-02.shtml
